,0
als_d15_id_nbank_cons_allnum,76732
als_d15_id_nbank_finlea_allnum,90600
als_d15_id_nbank_else_allnum,64445
als_d15_id_nbank_orgnum,52460
als_d15_id_nbank_p2p_orgnum,81055
als_d15_id_nbank_mc_orgnum,90539
als_d15_id_nbank_ca_orgnum,67699
als_d15_id_nbank_cf_orgnum,66664
als_d15_id_nbank_com_orgnum,92748
als_d15_id_nbank_oth_orgnum,76365
als_d15_id_nbank_nsloan_orgnum,73786
als_d15_id_nbank_autofin_orgnum,93254
als_d15_id_nbank_sloan_orgnum,80854
als_d15_id_nbank_cons_orgnum,76732
als_d15_id_nbank_finlea_orgnum,90600
als_d15_id_nbank_else_orgnum,64445
als_d15_id_nbank_week_allnum,52460
als_d15_id_nbank_week_orgnum,52460
als_d15_id_nbank_night_allnum,52460
als_d15_id_nbank_night_orgnum,52460
als_d15_cell_pdl_allnum,65579
als_d15_cell_pdl_orgnum,65579
als_d15_cell_caon_allnum,70979
als_d15_cell_caon_orgnum,70979
als_d15_cell_rel_allnum,81762
als_d15_cell_rel_orgnum,81762
als_d15_cell_caoff_allnum,86718
als_d15_cell_caoff_orgnum,86718
als_d15_cell_cooff_allnum,88182
als_d15_cell_cooff_orgnum,88182
als_d15_cell_af_allnum,92780
als_d15_cell_af_orgnum,92780
als_d15_cell_coon_allnum,90313
als_d15_cell_coon_orgnum,90313
als_d15_cell_oth_allnum,83124
als_d15_cell_oth_orgnum,83124
als_d15_cell_bank_selfnum,85401
als_d15_cell_bank_allnum,85401
als_d15_cell_bank_tra_allnum,85479
als_d15_cell_bank_ret_allnum,93171
als_d15_cell_bank_orgnum,85401
als_d15_cell_bank_tra_orgnum,85479
als_d15_cell_bank_ret_orgnum,93171
als_d15_cell_bank_week_allnum,85401
als_d15_cell_bank_week_orgnum,85401
als_d15_cell_bank_night_allnum,85401
als_d15_cell_bank_night_orgnum,85401
als_d15_cell_nbank_selfnum,53741
als_d15_cell_nbank_allnum,53741
als_d15_cell_nbank_p2p_allnum,82703
als_d15_cell_nbank_mc_allnum,90686
als_d15_cell_nbank_ca_allnum,68098
als_d15_cell_nbank_cf_allnum,67437
als_d15_cell_nbank_com_allnum,92766
als_d15_cell_nbank_oth_allnum,76819
als_d15_cell_nbank_nsloan_allnum,75110
als_d15_cell_nbank_autofin_allnum,93256
als_d15_cell_nbank_sloan_allnum,80827
als_d15_cell_nbank_cons_allnum,77305
als_d15_cell_nbank_finlea_allnum,90704
als_d15_cell_nbank_else_allnum,65203
als_d15_cell_nbank_orgnum,53741
als_d15_cell_nbank_p2p_orgnum,82703
als_d15_cell_nbank_mc_orgnum,90686
als_d15_cell_nbank_ca_orgnum,68098
als_d15_cell_nbank_cf_orgnum,67437
als_d15_cell_nbank_com_orgnum,92766
als_d15_cell_nbank_oth_orgnum,76819
als_d15_cell_nbank_nsloan_orgnum,75110
als_d15_cell_nbank_autofin_orgnum,93256
als_d15_cell_nbank_sloan_orgnum,80827
als_d15_cell_nbank_cons_orgnum,77305
als_d15_cell_nbank_finlea_orgnum,90704
als_d15_cell_nbank_else_orgnum,65203
als_d15_cell_nbank_week_allnum,53741
als_d15_cell_nbank_week_orgnum,53741
als_d15_cell_nbank_night_allnum,53741
als_d15_cell_nbank_night_orgnum,53741
als_m1_id_pdl_allnum,56126
als_m1_id_pdl_orgnum,56126
als_m1_id_caon_allnum,63015
als_m1_id_caon_orgnum,63015
als_m1_id_rel_allnum,75772
als_m1_id_rel_orgnum,75772
als_m1_id_caoff_allnum,83350
als_m1_id_caoff_orgnum,83350
als_m1_id_cooff_allnum,84581
als_m1_id_cooff_orgnum,84581
als_m1_id_af_allnum,92430
als_m1_id_af_orgnum,92430
als_m1_id_coon_allnum,87972
als_m1_id_coon_orgnum,87972
als_m1_id_oth_allnum,77246
als_m1_id_oth_orgnum,77246
als_m1_id_bank_selfnum,81788
als_m1_id_bank_allnum,81788
als_m1_id_bank_tra_allnum,81926
als_m1_id_bank_ret_allnum,93096
als_m1_id_bank_orgnum,81788
als_m1_id_bank_tra_orgnum,81926
als_m1_id_bank_ret_orgnum,93096
als_m1_id_bank_week_allnum,81788
als_m1_id_bank_week_orgnum,81788
als_m1_id_bank_night_allnum,81788
als_m1_id_bank_night_orgnum,81788
als_m1_id_nbank_selfnum,43339
als_m1_id_nbank_allnum,43339
als_m1_id_nbank_p2p_allnum,75711
als_m1_id_nbank_mc_allnum,88834
als_m1_id_nbank_ca_allnum,61193
als_m1_id_nbank_cf_allnum,56168
als_m1_id_nbank_com_allnum,92240
als_m1_id_nbank_oth_allnum,70318
als_m1_id_nbank_nsloan_allnum,66175
als_m1_id_nbank_autofin_allnum,93245
als_m1_id_nbank_sloan_allnum,73542
als_m1_id_nbank_cons_allnum,69756
als_m1_id_nbank_finlea_allnum,89046
als_m1_id_nbank_else_allnum,56928
als_m1_id_nbank_orgnum,43339
als_m1_id_nbank_p2p_orgnum,75711
als_m1_id_nbank_mc_orgnum,88834
